title,rating,review,date
Very easy to use,5,The accessibility of the app makes it simple for any sneaker head to get there grails. Or the new hottest pick ups. Will be using this for all the heat I need in my collection.,2017-07-24T06:09:42Z
Good sneaker app,5,Pretty good for buying and selling sneakers. I've sold more than 10 shoes and everything went good.,2017-07-24T03:56:43Z
This is great,5,I really like this app because it's really organized and it has a lot of shoes that people like and everything is all good because the authentication about it not being fake or being another shoe that you didn't order. This is a very great app!!!!,2017-07-24T03:14:38Z
Like it but,3,Goat lets sellers do there thing make there money for over priced hyped shoes even over priced hyped beaters it's out of control prices.  That's good for seller but the buyer is raped all the time great selection of kicks but like I said rape prices even in the beaters so think........goat please make it good on both ends,2017-07-24T02:44:38Z
Nice,5,Good app,2017-07-24T02:17:15Z
GOOD APP FOR SNEAKER HEADZ,4,"Only thing i dont like is that when you make an offer it has to stay up for minimum 3 days , it should have options to have it for one day only",2017-07-24T01:04:22Z
Yup,5,All about them yeezys,2017-07-23T22:30:18Z
Good,5,Good app!,2017-07-23T21:56:46Z
Goat,5,It really is goat like,2017-07-23T18:30:43Z
A W S O M E,5,This app is awesome,2017-07-23T17:25:21Z
_Ÿ‘Ÿ_Ÿ‘Ÿ,5,Best app ever invented. Haven't had one bad experience,2017-07-23T16:41:18Z
I love this app,5,Best shoe app on the market right now,2017-07-23T16:32:33Z
This app,5,I love it I'm getting shoes,2017-07-23T15:19:31Z
100% best place to buy sneakers,5,"I've bought countless sneakers on this app, by far the best place to buy and sell sneakers.",2017-07-23T10:53:32Z
Great customer service,5,"First time buying shoes through a third party, so I emailed about tracking info, and customer service replied back within minutes and the shoes were at my door the next day!",2017-07-23T08:30:42Z
Great,5,One of the safest and easiest to use sneaker apps out there.,2017-07-23T03:01:53Z
Favorite shoe app,5,Can find any legit shoe for a good price and shipping,2017-07-23T02:23:11Z
Best place to find shoes!,5,A friend showed me the GOAT app and now it's the only place I go to buy sneakers.,2017-07-23T02:14:20Z
Not baaaaad!,4,Pretty good site. Shoes are _Ÿ‘ç_Ÿè¿_Ÿ‘ç_Ÿè¿,2017-07-23T00:27:22Z
